Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 6 [30720/49000 (62%)]	Train Loss: 1.306036	Val Loss: 1.375386	Val Acc: 52
Train Epoch: 6 [35840/49000 (73%)]	Train Loss: 1.481784	Val Loss: 1.381598	Val Acc: 51
Train Epoch: 6 [40960/49000 (83%)]	Train Loss: 1.424195	Val Loss: 1.382637	Val Acc: 52
Train Epoch: 6 [46080/49000 (94%)]	Train Loss: 1.361303	Val Loss: 1.370458	Val Acc: 52
Train Epoch: 7 [0/49000 (0%)]	Train Loss: 1.420695	Val Loss: 1.375818	Val Acc: 52
Train Epoch: 7 [5120/49000 (10%)]	Train Loss: 1.361850	Val Loss: 1.372731	Val Acc: 51
Train Epoch: 7 [10240/49000 (21%)]	Train Loss: 1.398498	Val Loss: 1.377061	Val Acc: 52
Train Epoch: 7 [15360/49000 (31%)]	Train Loss: 1.285339	Val Loss: 1.361528	Val Acc: 52
Train Epoch: 7 [20480/49000 (42%)]	Train Loss: 1.383724	Val Loss: 1.363236	Val Acc: 52
Train Epoch: 7 [25600/49000 (52%)]	Train Loss: 1.377850	Val Loss: 1.360241	Val Acc: 54
Train Epoch: 7 [30720/49000 (62%)]	Train Loss: 1.376860	Val Loss: 1.373167	Val Acc: 52
Train Epoch: 7 [35840/49000 (73%)]	Train Loss: 1.324228	Val Loss: 1.359683	Val Acc: 51
Train Epoch: 7 [40960/49000 (83%)]	Train Loss: 1.409766	Val Loss: 1.354379	Val Acc: 52
Train Epoch: 7 [46080/49000 (94%)]	Train Loss: 1.355826	Val Loss: 1.343148	Val Acc: 54
Train Epoch: 8 [0/49000 (0%)]	Train Loss: 1.324215	Val Loss: 1.350116	Val Acc: 53
Train Epoch: 8 [5120/49000 (10%)]	Train Loss: 1.419318	Val Loss: 1.341742	Val Acc: 53
Train Epoch: 8 [10240/49000 (21%)]	Train Loss: 1.376498	Val Loss: 1.335860	Val Acc: 53
Train Epoch: 8 [15360/49000 (31%)]	Train Loss: 1.394208	Val Loss: 1.340681	Val Acc: 54
Train Epoch: 8 [20480/49000 (42%)]	Train Loss: 1.408033	Val Loss: 1.348077	Val Acc: 53
Train Epoch: 8 [25600/49000 (52%)]	Train Loss: 1.329982	Val Loss: 1.334752	Val Acc: 53
Train Epoch: 8 [30720/49000 (62%)]	Train Loss: 1.420516	Val Loss: 1.323910	Val Acc: 53
Train Epoch: 8 [35840/49000 (73%)]	Train Loss: 1.330203	Val Loss: 1.328469	Val Acc: 54
Train Epoch: 8 [40960/49000 (83%)]	Train Loss: 1.344964	Val Loss: 1.329723	Val Acc: 53
Train Epoch: 8 [46080/49000 (94%)]	Train Loss: 1.346919	Val Loss: 1.326451	Val Acc: 53
Train Epoch: 9 [0/49000 (0%)]	Train Loss: 1.322619	Val Loss: 1.320276	Val Acc: 54
Train Epoch: 9 [5120/49000 (10%)]	Train Loss: 1.313313	Val Loss: 1.322914	Val Acc: 53
Train Epoch: 9 [10240/49000 (21%)]	Train Loss: 1.367568	Val Loss: 1.320145	Val Acc: 53
Train Epoch: 9 [15360/49000 (31%)]	Train Loss: 1.386735	Val Loss: 1.325375	Val Acc: 54
Train Epoch: 9 [20480/49000 (42%)]	Train Loss: 1.331141	Val Loss: 1.312680	Val Acc: 53
Train Epoch: 9 [25600/49000 (52%)]	Train Loss: 1.323521	Val Loss: 1.310850	Val Acc: 54
Train Epoch: 9 [30720/49000 (62%)]	Train Loss: 1.227028	Val Loss: 1.313856	Val Acc: 54
Train Epoch: 9 [35840/49000 (73%)]	Train Loss: 1.317762	Val Loss: 1.324852	Val Acc: 54
Train Epoch: 9 [40960/49000 (83%)]	Train Loss: 1.291356	Val Loss: 1.338454	Val Acc: 53
Train Epoch: 9 [46080/49000 (94%)]	Train Loss: 1.284164	Val Loss: 1.304298	Val Acc: 54
Train Epoch: 10 [0/49000 (0%)]	Train Loss: 1.318770	Val Loss: 1.307741	Val Acc: 54
Train Epoch: 10 [5120/49000 (10%)]	Train Loss: 1.280136	Val Loss: 1.332800	Val Acc: 53
Train Epoch: 10 [10240/49000 (21%)]	Train Loss: 1.306570	Val Loss: 1.294810	Val Acc: 53
Train Epoch: 10 [15360/49000 (31%)]	Train Loss: 1.195748	Val Loss: 1.298833	Val Acc: 54
